	mass A					
t	x	y	θ	ω	α	
6.197	-274.8	-140.1	-153.0	-82.11	-1.283E3
6.231	-282.5	-123.4	-156.4	-124.0	-1.235E3
6.264	-292.1	-99.15	-161.2	-164.8	-1.220E3
6.297	-301.1	-67.38	-167.4	-204.8	-1.159E3
6.331	-307.4	-27.42	-174.9	-242.7	-1.008E3
6.364	-308.3	19.18	-183.6	-272.2	-780.1
6.397	-301.3	69.81	-193.0	-294.4	-684.8
6.431	-284.5	121.8	-203.2	-317.1	-727.2
6.464	-256.4	174.1	-214.2	-343.2	-679.3
6.497	-215.2	223.3	-226.1	-363.3	-395.0
6.531	-162.7	264.3	-238.4	-369.7	-1.009E3
6.564	-102.8	293.5	-250.7	-421.9	-795.9
6.597	-18.82	307.5	-266.5	-442.4	129.1
6.631	54.40	303.3	-280.2	-398.3	1.255E3
6.664	121.2	284.9	-293.0	-363.2	1.007E3
6.697	174.3	254.9	-304.4	-328.1	468.5
6.730	217.8	218.5	-314.9	-329.9	127.4
6.764	258.3	171.9	-326.4	-327.5	383.1
6.797	286.7	123.3	-336.7	-299.5	802.1
6.830	304.3	74.12	-346.3	-274.9	837.5
6.864	312.9	27.12	-355.0	-244.3	1.107E3
6.897	314.6	-14.23	-362.6	-201.4	1.172E3
6.930	310.0	-46.13	-368.5	-163.4	1.108E3
6.964	304.9	-73.10	-373.5	-130.3	1.113E3
6.997	299.7	-92.47	-377.1	-88.43	1.285E3
7.030	295.9	-104.0	-379.4	-44.55	1.303E3
7.064	294.6	-107.9	-380.1	-1.308	1.285E3
7.097	295.7	-104.5	-379.5	40.89	1.268E3
7.130	299.1	-93.68	-377.4	83.21	1.248E3
7.164	304.2	-75.36	-373.9	124.2	1.230E3
7.197	309.4	-49.63	-369.1	164.8	1.172E3
7.230	312.7	-16.00	-362.9	203.0	1.107E3
7.264	311.9	24.05	-355.6	238.1	1.065E3
7.297	304.5	69.94	-347.1	273.9	935.7
7.330	287.7	120.2	-337.3	301.7	791.3
7.364	260.8	169.6	-327.0	324.9	757.7
7.397	221.7	216.5	-315.7	352.6	670.6
7.430	170.2	257.5	-303.5	371.1	265.5
7.463	110.0	287.2	-291.0	370.3	-27.44
7.497	47.29	306.0	-278.8	367.0	90.77
7.530	-18.79	307.2	-266.5	376.5	183.6
7.563	-85.98	294.0	-253.7	381.5	-122.4
7.597	-147.5	266.9	-241.1	367.9	-342.0
7.630	-198.2	229.5	-229.2	356.2	-422.0
